reference,description,decision-date,organisation,notes,entry-date,start-date,end-date
23/00157/FUL,"Subdivision of ground floor single retail unit (Use Class E) into 2 x retail units (Use Class E), and associated external works including installation of external extraction flue chimney and works to shop frontage. Roof extension to create first floor housing 2 x 1 bed and 1 x 2 bed units with associated external alterations",2023-08-15,local-authority:DNC,,,,
23/00158/FUL,Erection of annex to the rear following demolition of existing outbuilding.,2023-05-30,local-authority:DNC,,,,
23/00160/FUL,Erection of new electricity substation,2023-03-14,local-authority:DNC,,,,
23/00161/FUL,"AMENDED: Erection of two storey extension to side, porch to front and single storey extension to rear plus extension of existing drop kerb and hardstanding",2023-04-14,local-authority:DNC,,,,
23/00162/FUL,Erection of a single storey rear extension to the dwelling,2023-05-02,local-authority:DNC,,,,
23/00167/OUT,"Outline application for the erection of 5 commercial units (Use Class B1, B2 or B8) with associated parking and a bin store. (approval being sought for access, appearance, layout and scale - matters of landscaping reserved) (without compliance with condition 2 of planning application 19/02674/OUT - development carried out in accordance with approved plans).",2023-06-13,local-authority:DNC,,,,
23/00169/COU,Change of Use from Childrens Residential Home (C2) to living accommodation for disabled adults linked to Mercury College (Sui Generis) (AMENDED DESCRIPTION),2023-12-12,local-authority:DNC,,,,
23/00172/FUL,Erection of side/rear extension to bungalow following demolition of existing side/rear extension and rear conservatory,2023-04-03,local-authority:DNC,,,,
23/00173/FUL,Erection of a single-storey rear extension and enlargement of the porch,2024-04-16,local-authority:DNC,,,,
23/00175/FUL,Erection of a single storey and two-storey extension to the front; single storey extension to the rear and a two storey side extension.,2023-10-16,local-authority:DNC,,,,
23/00176/LBC,Listed Building Consent for erection of replacement garden room.,2023-04-20,local-authority:DNC,,,,
23/00178/FUL,Change of use of land to domestic curtilage and alterations to existing agricultural cart shed to create a domestic garden room/bar,2023-06-28,local-authority:DNC,,,,
23/00183/FUL,Erection of a single storey mono pitched roof extension following the demolition of the existing conservatory to the rear and a porch to the front elevation of the dwelling,2023-03-22,local-authority:DNC,,,,
23/00186/FUL,Erection of replacement garden room.,2023-04-19,local-authority:DNC,,,,
23/00189/3ADV,Display of new notice board for the library which has relocated into the Pavilion.,2023-04-25,local-authority:DNC,,,,
23/00191/FUL,Erection of a single storey pitched roof extension to the rear of dwelling and a detached pitched roof garage to the rear following the demolition of existing detached garage,2023-03-24,local-authority:DNC,,,,
