reference,description,decision-date,organisation,notes,entry-date,start-date,end-date
23/01874/FUL,Erection of detached garage.,2023-11-06,local-authority:DNC,,,,
23/01879/FUL,"Replacement of existing mono pitched roofs to rear offshots with flat roofs, first floor rear infill flat roof extension inbetween offshots to create additional floorspace to first floor HMO, with associated external alterations.",2023-11-30,local-authority:DNC,,,,
23/01880/FUL,"Change of use from a dwelling at ground floor level to a retail unit, rear extension and alterations to the front of the building to form shop entrance",2024-02-29,local-authority:DNC,,,,
23/01883/FUL,Erection of a flat roof ground floor extension to the rear and the installation of a window to rear elevation of the new first floor extension (which was granted under ref no: 20/03211/FUL on the 02.09.2021).,2024-01-03,local-authority:DNC,,,,
23/01886/FULM,Conversion of coach house (C3 Use Class) into 10 apartments with associated parking,2024-09-25,local-authority:DNC,,,,
23/01887/LBCM,Listed building consent for conversion of coach house (C3 Use Class) into 10 apartments with associated parking.,2024-09-25,local-authority:DNC,,,,
23/01890/FUL,Erection of ground floor extension to rear following demolition of existing garage,2023-11-08,local-authority:DNC,,,,
23/01891/TPO,"Application to crown lift and prune to clear cables on  4 Lime trees, identified as being T1 and G1 of the Doncaster Borough Council Tree Preservation (No 121) 1993 Lancaster Avenue, Kirk Sandall",2023-12-14,local-authority:DNC,,,,
23/01892/FUL,Erection of single storey rear extension and retrospective approval for retention of existing outbuilding and block drive,2023-11-16,local-authority:DNC,,,,
23/01896/FUL,Siting of 10 storage containers for a period of 5 years.,2023-12-20,local-authority:DNC,,,,
23/01898/COU,Change of use of first floor from 5 serviced accommodation guest room (Class Use C1) to a three bedroom flat (C3),2023-10-31,local-authority:DNC,,,,
23/01901/FUL,Erection of a single storey side extension to form new kitchen,2023-11-20,local-authority:DNC,,,,
23/01902/FUL,Erection of timber outbuilding at the rear for use as a beauty salon.,2024-05-28,local-authority:DNC,,,,
23/01906/FUL,Erection of two storey side and single storey rear extensions following demolition of existing garage.,2023-11-01,local-authority:DNC,,,,
23/01911/FUL,"AMENDED - Erection of a detached Garden building/Outbuilding (comprising of a Gym and Store), to be located at the bottom of the rear garden area.",2023-11-08,local-authority:DNC,,,,
23/01914/FUL,Erection of two detached dwellings,2024-08-02,local-authority:DNC,,,,
23/01916/FUL,Erection of front porch and rear canopy. Render part of front and side walls in pearl white. (retrospective).,2023-11-06,local-authority:DNC,,,,
23/01917/FUL,Erection of a detached annexe with canopy attached to the existing detached garage (retrospectively).,2023-11-01,local-authority:DNC,,,,
23/01920/FUL,Erection of an extension and removal of existing temporary cabins,2023-11-09,local-authority:DNC,,,,
23/01921/ADV,"Display of high level externally illuminated fascia sign to Hall Gate elevation, internally illuminated projecting sign, menu board, entrance door sign  to Hall Gate elevation. Internally illuminated projecting sign, & panel sign above Wood Street entrance & non illuminated panel sign to Wood Street entrance",2023-11-16,local-authority:DNC,,,,
23/01922/FUL,Erection of ground floor rear extension following demolition of existing rear extension,2023-11-07,local-authority:DNC,,,,
23/01925/FUL,"Change of use of former public house (Sui Generis) to 5 no. duplex apartments (Use Class C3) and retail unit (Use Class E(g)), with associated external alterations including to the site layout to provide bin store, cycle store, site access widening and new parking layout (AMENDED SCHEME)",2024-05-01,local-authority:DNC,,,,
23/01927/TPO,"This planning application is for the X2 large Ash trees located in the SSSI Sprotbrough Gorge. These trees form part of DMBC/TPO/00209 - Doncaster Borough Council Tree Preservation Order (No.209) 1998 Warmsworth, Sprotbrough, Marr and Brodsworth.",2023-11-24,local-authority:DNC,,,,
23/01928/FUL,"Erection of a two storey extension to the side of No 124 to create two self contained flats, dropped kerb to facilitate additional parking at the front and associated landscaping.",2023-12-19,local-authority:DNC,,,,
23/01936/FUL,"Erection of a two storey side extension with an integral garage; erection of single storey rear extension following the demolition of existing garage and adding of render to host dwelling, and formation of dropped kerb.",2023-12-12,local-authority:DNC,,,,
23/01941/FULM,"Installation of solar PV panels to the main roof of medical centre and installation of new cladding to existing brickwork elevations, associated with a wider scheme of external improvement works",2023-11-22,local-authority:DNC,,,,
23/01942/FUL,"Erection of a rear single storey pitched roof Sun Lounge extension, following the demolition of the existing conservatory.",2023-11-01,local-authority:DNC,,,,
23/01944/ADV,Display of an internally illuminated sign - full width of the shop above the front windows (Retrospectively).,2023-12-12,local-authority:DNC,,,,
23/01945/FUL,Erection of single storey rear extension to single storey dwelling.,2023-11-07,local-authority:DNC,,,,
23/01947/FUL,Change of use of garage to treatment facility. Extension to rear of dwelling linking former garage to dwelling (being resubmission of 22/01714/FUL granted on the 30/08/2023).,2023-11-15,local-authority:DNC,,,,
23/01949/FUL,Erection of a single storey extension to rear.,2023-11-02,local-authority:DNC,,,,
23/01950/FUL,"Erection of detached dwelling and garage, creation of new vehicular access and associated landscaping (AMENDED)",2024-10-09,local-authority:DNC,,,,
23/01953/FUL,Erection of replacement detached dwelling and garage following demolition of existing dwelling,2023-11-24,local-authority:DNC,,,,
23/01954/TPO,"Application to Crown lift and prune selected branches away from dwellings an Oak tree, identified as T1 within and protected by Tree Preservation Order No. 142 1995",2023-11-23,local-authority:DNC,,,,
23/01955/FUL,"Display of 4 signs; external pay to park tariff board, entrance board , information board , pay by phone board,(retrospective).",2023-12-14,local-authority:DNC,,,,
23/01956/ADV,"Display of 4 signs; external pay to park tariff board, entrance board , information board , pay by phone board,(retrospective).",2023-12-14,local-authority:DNC,,,,
23/01960/FUL,"Erection of a ground floor extension to the rear, which is a partial infill rear extension.",2023-11-06,local-authority:DNC,,,,
23/01963/FUL,Erection of two storey side extension,2024-02-12,local-authority:DNC,,,,
23/01964/FUL,Erection of two storey side extension and loft conversion of a detached house.,2023-11-30,local-authority:DNC,,,,
23/01967/FUL,AMENDED - Erection of a two storey side/front extension.,2023-12-22,local-authority:DNC,,,,
23/01969/FUL,Erection of a rear extension (retrospective),2023-11-01,local-authority:DNC,,,,
23/01973/TCON,Conservation Area Notification for work to remove deadwood from upper crown. The tree is located in the Tickhill Conservation Area.,2023-11-08,local-authority:DNC,,,,
23/01976/FUL,Erection of rear single and two storey extension (being resubmission of 23/00386/FUL granted 16/06/2023).,2024-03-05,local-authority:DNC,,,,
23/01978/FUL,Installation of air source heat pump (RETROSPECTIVE),2024-01-16,local-authority:DNC,,,,
23/01979/LBC,Listed building consent for the installation of cycle rack and shelter,2023-11-13,local-authority:DNC,,,,
23/01980/FUL,"Erection of two storey side/front extension following demolition of existing garage and outbuilding, extension of front porch and replacement of porch flat roof with pitched roof, and other external alterations",2023-12-21,local-authority:DNC,,,,
23/01981/FUL,Erection of a first floor extension to the side and rear.,2023-12-07,local-authority:DNC,,,,
23/01982/FUL,"Erection of 2 storey side extension, partly being built over existing garage.",2023-11-20,local-authority:DNC,,,,
23/01986/FUL,Erection of extension to front of existing restaurant and other external alterations including to the windows/doors and external cladding.,2023-11-13,local-authority:DNC,,,,
23/01989/FUL,Erection of 2 ancillary day rooms (being resubmission of 23/00795/FUL - for larger day rooms),2023-11-30,local-authority:DNC,,,,
23/01992/OHL,Erection of a pole-mounted transformer (11m high).,2023-12-06,local-authority:DNC,,,,
23/01993/FUL,Erection of a single story ground floor bathroom extension to the rear of the dwelling,2023-12-04,local-authority:DNC,,,,
23/01999/FUL,"Change of use of rear part of ground floor from Post Office storage rooms to 1 no. House in Multiple Occupation (C4 use), with associated external alterations",2023-12-19,local-authority:DNC,,,,
23/02003/ADV,"Display of internally illuminated advertisement, hanging advertisement, and banner advertisement on front and rear elevation.",2023-12-01,local-authority:DNC,,,,
23/02004/FUL,"Erection of electric gates to the front of the driveway, height up to 1.6m width 3.65m.",2023-12-08,local-authority:DNC,,,,
23/02007/FUL,"Amended - Erection of a two storey rear extension, as part of the raising of the roof height development, in connection with formation of rooms in the roofspace and some alterations to existing detached dwelling.",2023-11-29,local-authority:DNC,,,,
23/02008/FUL,"Application to vary condition 2 (plans) of application 23/01142/FUL; 'Conversion of the existing building to a restaurant (Use Class E(b)) with associated external alterations' - granted 31.07.2023; (amended plans including changes to cladding, additional canopies etc) (amended plans)",2023-12-14,local-authority:DNC,,,,
23/02009/ADV,Display of internally illuminated lettering and sign,2023-12-14,local-authority:DNC,,,,
23/02011/FUL,"Erection of a single storey rear extension, following demolition of the existing rear conservatory.",2023-11-21,local-authority:DNC,,,,
23/02022/FUL,Erection of a single  storey extension to rear and a single storey extension to front of bungalow.,2023-11-20,local-authority:DNC,,,,
23/02025/FULM,"Erection of residential development (Use Class C3), internal access roads, car parking, open space and associated works, being variation of condition 2 (in accordance with plans) of planning permission reference 19/02977/FULM granted on 18/04/2023.",2024-06-06,local-authority:DNC,,,,
23/02026/TPO,"Application to prune an Oak tree, identified as being within W1 of the Tree Preservation Order No. 15 Rossington 1971",2023-11-09,local-authority:DNC,,,,
23/02027/PRIOR,Notification to determine if prior approval is required for a change of use from commercial space to residential dwelling,2024-01-16,local-authority:DNC,,,,
23/02033/FUL,Proposed rendering of dwelling,2023-11-24,local-authority:DNC,,,,
23/02037/FUL,"Erection of one and a half storey side extension, including integrated garage. Raising of the roof height to form dormer bungalow and other associated works, following the demolition of the existing conservatory",2024-01-26,local-authority:DNC,,,,
23/02038/FUL,Balcony extension to the front of dwelling and associated external alterations,2024-01-18,local-authority:DNC,,,,
23/02041/FUL,Proposed detached dwelling,2023-11-23,local-authority:DNC,,,,
23/02047/FUL,Erection of a two storey rear extension.,2023-11-28,local-authority:DNC,,,,
23/02050/FUL,Erection of a single-storey front extension to create a new entrance. Re-render and re-roof of the existing dwelling with new windows and doors. Installation of 2 No. roof lights within the existing dwelling extension roof.  New window and side access within existing extension for the utility.,2023-11-08,local-authority:DNC,,,,
23/02052/4FULM,Demolition of existing buildings and erection of a new commercial development block.,2024-01-10,local-authority:DNC,,,,
23/02054/FUL,Change of use of land to domestic curtilage (Retrospective),2023-12-18,local-authority:DNC,,,,
23/02064/FUL,"Erection of side and rear extension to form new living space, garage and utility following demolition of existing garage and garden store, and the erection of single storey extension to front elevation.",2023-11-30,local-authority:DNC,,,,
23/02068/FUL,Erection of front boundary wall (RETROSPECTIVE),2024-02-09,local-authority:DNC,,,,
23/02072/FUL,Installation of replacement UPVC windows to first & second floor,2024-01-08,local-authority:DNC,,,,
23/02073/COU,Change of use from Children's Home (C2) to dwellinghouse (C3(a)),2024-01-03,local-authority:DNC,,,,
23/02075/FUL,Erection of a double garage to rear garden with parking in front of it for 2 cars.,2023-11-24,local-authority:DNC,,,,
23/02080/FUL,"Erection of a two-storey side extension and rear dormer loft conversion following demolition of existing garage and outbuildings (being resubmission of application 23/00431/FUL, granted on 18.04.2023).",2023-11-09,local-authority:DNC,,,,
23/02083/ADV,"Display of 1 x non-illuminated fascia sign with illuminated text, 1 x illuminated entrance logo sign and 1x illuminated projection sign mounted on a steel pole.",2023-11-15,local-authority:DNC,,,,
23/02085/FUL,"Erection of a two storey extension to the rear, two storey porch extension to front including new render. Installation of two pitched roof dormer windows to front and two flat roof dormer windows to the rear elevations in connection with formation of rooms in roofspace (amendment of 23/00460/FUL approved 18/04/2023).",2023-12-06,local-authority:DNC,,,,
23/02087/FUL,Erection of two dwellings to replace existing agricultural buildings and associated works,2024-01-24,local-authority:DNC,,,,
23/02088/FUL,Conversion of garage and erection of new glazed link,2024-03-15,local-authority:DNC,,,,
23/02090/FUL,"Erection of a single storey and a two storey rear extension and erection of a detached garage, to be located at the bottom of the rear garden area.",2023-11-24,local-authority:DNC,,,,
23/02091/TPO,"Application to fell 6 Silver Birch, and undertake crown lift on an Oak, all within A14 and crown lift a Silver Birch identified as T96 - all trees within Tree Preservation Order No.16 Auckley 1971",2023-11-10,local-authority:DNC,,,,
23/02093/FUL,"Part conversion of existing garage, infill extension to link garage to dwelling, and erection of first floor extension over existing garage to detached dwelling",2023-12-18,local-authority:DNC,,,,
23/02095/ADV,Display of internal and external signs to replace 1 no. projecting signage with new 600mm and 1 no. Fascia and Logo. New blue fascia and 1 no new 490mm logo height. Also replacement of 2 no. ATM surrounds and decals with new. Replace statutory signage with new and installation of new window message ''A good way to bank.'' As well as replacement safety manifestation with new (RETROSPECTIVELY).,2023-11-21,local-authority:DNC,,,,
23/02096/ADV,"Display of 5 externally Illuminated tray signs with neon letters (height 0.95m, width 3.45m, depth 0.05m). 
",2023-11-23,local-authority:DNC,,,,
23/02098/FUL,"Erection of a single storey rear extension, following the demolition of the existing conservatory (being a resubmission of application 23/00636/FUL, granted on 25.05.2023).",2023-11-22,local-authority:DNC,,,,
23/02103/FUL,Erection of front porch extension.,2023-11-20,local-authority:DNC,,,,
23/02104/LBC,Listed building consent for reinstating steps to the Summer House and associated works,2024-01-08,local-authority:DNC,,,,
23/02105/FUL,"Erection of new dwelling (being resubmission of application 22/00725/FUL, granted on 05.04.2023)",2024-01-03,local-authority:DNC,,,,
23/02106/FUL,Erection of a ground floor extension to rear.,2023-11-20,local-authority:DNC,,,,
23/02109/FUL,"Erection of a two storey side extension, a two storey and a ground floor rear extension and the conversion of the loft space into living accommodation, with the installation of various roof lights throughout to a semi-detached dwelling house - (Re-submission of 23/01559/FUL, Refused on the 09.10.2023).",2023-12-15,local-authority:DNC,,,,
23/02113/FUL,Erection of ground floor and first floor rear extensions,2024-06-05,local-authority:DNC,,,,
23/02114/FULM,"Construction of elderly care home with associated parking, landscaping and infrastructure (resubmission of previously approved 22/02567/FULM application).",2023-12-12,local-authority:DNC,,,,
23/02116/FUL,Retrospective application for single storey extension to rear to form store room of 22m2,2023-12-04,local-authority:DNC,,,,
23/02119/COU,Change of use from single-room shop (Class E) to residential use (Class C3) to incorporate room into existing dwelling at No. 8 High Street,2023-12-22,local-authority:DNC,,,,
23/02120/FUL,Erection of a Sun Lounge ground floor extension to the rear to replace the existing rear Conservatory.,2023-11-29,local-authority:DNC,,,,
23/02124/FUL,Erection of a single storey rear garden room extension following demolition of existing conservatory,2023-12-15,local-authority:DNC,,,,
23/02126/FUL,"Erection of a flat roof rear single storey extension to dwelling, following demolition of existing conservatory.",2023-11-29,local-authority:DNC,,,,
23/02128/FUL,"Erection of  a 2 storey rear extension, replace existing roof with attic trusses raising the roof by 750mm to create rooms in the loft space & dormer window.",2023-12-14,local-authority:DNC,,,,
23/02133/FUL,Erection of a side extension to accommodate bedroom and shower room,2023-12-18,local-authority:DNC,,,,
23/02134/ADV,"Display of 1no externally illuminated  fascia sign, 3no non-illuminated  totem panels & 1no non-illuminated parking sign",2023-12-18,local-authority:DNC,,,,
23/02136/TPO,Application for consent to works to 2 Yew Trees that are protected bia Area (A8) forms part of TPO 74/09/DRDC/03 - Doncaster Rural District Council Tree Preservation Order (No.3) 1961 Warmsworth / Sprotbrough / Marr.,2023-12-18,local-authority:DNC,,,,
23/02137/COU,Proposed change of use from a dwelling to a children's residential home,2023-12-11,local-authority:DNC,,,,
23/02142/FUL,Erection of extension following demolition of part of existing building and erection of new building to be used for Use Class E(g)/B2/B8 purposes. (being resubmission of planning application ref: 20/00455/FUL),2024-07-11,local-authority:DNC,,,,
23/02143/FUL,"Erection of two storey pitched roof side extension, and ground floor rear extension",2024-01-16,local-authority:DNC,,,,
23/02144/TPO,"Fell Beech tree, within and protected by Tree Preservation Order. No.16 Auckley 1971",2023-11-09,local-authority:DNC,,,,
23/02147/FUL,Erection of single storey rear extension.,2023-12-06,local-authority:DNC,,,,
23/02148/FUL,Erection of two storey and single storey extension to rear/side.,2023-12-13,local-authority:DNC,,,,
23/02153/REM,"Details of access, scale, layout, appearance and landscaping for the erection of 2 detached dwellings and associated garages (being matters reserved in outline application 22/00645/OUT)",2024-07-01,local-authority:DNC,,,,
23/02158/FUL,"Reorganisation of the car parks and the provision of a new drive thru restaurant (being variation of condition 2 of planning application 16/01076/FUL, granted on 18.11.2016; Reconfigure the existing car park including the reduction of the parking spaces by 20, and the relocation of trees and lampposts)",2024-05-14,local-authority:DNC,,,,
23/02160/ADV,Racecourse Perimeter advertising of race day and non racing events.,2024-02-28,local-authority:DNC,,,,
23/02161/FUL,Install an MCS compliant Dailkin domestic air source heat pump at the rear of the house.,2024-02-28,local-authority:DNC,,,,
23/02175/FUL,"Alterations to openings, fitting of new timber windows, constructions of a new porch, roof & chimney. Repairs to existing wall, insulation, draught proofing & timber treatments",2024-06-04,local-authority:DNC,,,,
23/02180/FUL,Siting of proposed modular building to provide teaching facilities (permanent permission),2024-05-03,local-authority:DNC,,,,
23/02188/LBC,"Listed Building Consent for alterations to openings, fitting of new timber windows, constructions of a new porch, roof & chimney. Repairs to existing wall, insulation, draught proofing & timber treatments",2024-06-04,local-authority:DNC,,,,
23/02192/COU,Change of use from residential to office use,2023-12-11,local-authority:DNC,,,,
23/02193/FUL,Erection of single storey rear extension after demolition of existing conservatory.,2024-01-08,local-authority:DNC,,,,
23/02194/ADV,"Display of externally illuminated shop sign, to replace existing one above the shop at the front of the building.",2024-02-13,local-authority:DNC,,,,
23/02195/TPO,Consent for the T1 Sycamore (Acer pseudoplatanus). The council reference for the tree is DMBC/TPO/00217 T52.,2023-11-23,local-authority:DNC,,,,
23/02196/3FULM,Full Planning Application for the remediation of land at Doncaster Waterfront (East) and use of site for interim public open space,2024-02-09,local-authority:DNC,,,,
23/02197/FUL,Erection of stable block and associated menage for personal equestrian use,2024-07-10,local-authority:DNC,,,,
23/02198/FUL,"Erection of a two storey side extension, following demolition of the existing garage. Plus erection of ground floor extensions to the front and rear to a semi-detached dwelling house.",2023-11-30,local-authority:DNC,,,,
23/02199/FUL,Erection of first floor dormer extension and side roof extension.,2023-12-08,local-authority:DNC,,,,
23/02204/ADV,"Display of single freestanding external, non-illuminated 'V' marketing board 3m x 3m (RETROSPECTIVE)",2023-12-05,local-authority:DNC,,,,
23/02205/FUL,Extension to rear beer garden with canvas cover and outside bar and changes to ground floor ladies toilet to create a disabled toilet (variation of condition 3 of planning application 21/00832/FUL granted on 28.10.2021 (no live music)),2024-03-07,local-authority:DNC,,,,
23/02207/TPO,"Application to undertake pruning  by up to 3m length from the branch tips on the south side of an Oak tree, identified as being within W28 of Tree Preservation Order No 206 Order 1997",2023-11-23,local-authority:DNC,,,,
23/02208/FUL,Conversion of existing outbuilding into two flats and associated external alterations,2024-01-15,local-authority:DNC,,,,
23/02210/TPO,"Application for works to acer trees protected by a Tree Presevration Orider. The This Group (G14) forms part of TPO DMBC/TPO/00207 - Doncaster Borough Council Tree Preservation Order (No.207) 1999 Sprotbrough Village.
",2023-11-08,local-authority:DNC,,,,
23/02217/FUL,Erection of an extension to the rear of the existing detached garage and replace the existing flat roof with a pitched tiled roof. Roof tiles and fascias to match the main dwelling. Walls to be rendered off white to match main dwelling house.,2023-12-04,local-authority:DNC,,,,
23/02218/COU,Change of use from a residential dwelling (Use Class C3) to education provision (Use Class F1a),2024-04-17,local-authority:DNC,,,,
23/02219/FUL,Demolition of conservatory and erection of single storey rear extension.,2023-12-18,local-authority:DNC,,,,
23/02221/FUL,"Erection of a first floor extension above existing garage to create bedroom, conversion of garage to utility room and store and associated external works",2024-05-22,local-authority:DNC,,,,
23/02222/FUL,Erection of single storey rear extension following demolition of existing rear extension.  Installation of 2 roof lights to the extension and 2 roof lights to the existing dining/kitchen.,2024-01-08,local-authority:DNC,,,,
23/02223/FUL,"Amended - Proposed raising of the roof height of the existing detached Garage to form a new first floor level Office Space, with one pitched roof dormer window proposed to the front elevation of the half hipped styled roof.",2024-03-13,local-authority:DNC,,,,
23/02225/FUL,"Erection of single storey rear extension, proposed replacement of flat roof dormers with hipped dormers, alteration of front elevation openings and window styles and replacement materials including re-rendering of dwelling",2024-01-08,local-authority:DNC,,,,
23/02231/FUL,Conversion of existing 2 number flats into 4 number flats including external metal fire escape stairs. (Resubmission of 22/01080/FUL).,2023-12-18,local-authority:DNC,,,,
23/02233/TPO,Application for consetn to remove dead wood from ash trees covered by TPO DMBC/TPO/00217 - Doncaster Borough Council Tree Preservation Order (No.217) 2000 Conisbrough..,2024-01-19,local-authority:DNC,,,,
23/02236/FUL,Amended Description - Erection of two storey side/rear extensions and a ground floor side extension and also formation of rooms in the roofspace. Plus the re-positioning of solar panels to the front roof slope.,2023-12-06,local-authority:DNC,,,,
23/02237/FUL,"Change of use from an outbuilding to an annexe, including the partial demolition of the building and associated external alterations",2024-03-18,local-authority:DNC,,,,
23/02238/TPO,This is an application to fell and replace one Sycamore tree (T1). The tree is subject to T38 Doncaster Borough Council Tree Preservation Order (No.80) 1991 Old Denaby.,2024-01-19,local-authority:DNC,,,,
23/02241/TPO,"Application to undertake crown reduction on a Sweet Chestnut, identified as T11 within and protected by Tree Preservation Order 186, Convent Grove, Bessacarr 1997",2023-11-24,local-authority:DNC,,,,
23/02243/FUL,Erection of a detached summer house in the garden to the rear of the property.,2024-01-22,local-authority:DNC,,,,
23/02247/FUL,Proposed erection of 2 No. detached dwellings and associated garage.,2024-09-13,local-authority:DNC,,,,
23/02248/FUL,Erection of outbuilding to rear,2024-03-11,local-authority:DNC,,,,
23/02249/LBCM,Listed Building Consent for change of use from reformed church hall to 8 x one bedroom apartments with associated works,2024-04-05,local-authority:DNC,,,,
23/02251/FUL,To raise the garage roof to fall inline with the rest of the flat roof section to the rear of the property.,2023-12-08,local-authority:DNC,,,,
23/02254/FUL,Installation of additional  4 new roof lights to the side,2024-01-26,local-authority:DNC,,,,
23/02262/FUL,"Erection of a single storey extension to front of property to form a new entrance & snug, & single storey extension to side of property located towards the rear to form an en suite. Installation of a bay window to the side of the property",2023-12-21,local-authority:DNC,,,,
23/02264/FUL,Replace front bay window with flat UPVC window at ground floor.,2023-12-07,local-authority:DNC,,,,
23/02268/FUL,Erection of a single storey side/rear extension and the removal of the side shed.,2023-12-12,local-authority:DNC,,,,
23/02273/TPO,"Application to undertake pruning works on 2 trees within W1 of the Tree Preservation Order No 33, 1987 Barnby Dun

Consent sought to sympathetically reduce the encroachment towards the property by tip pruning the two trees by a maximum of 1m branch length from the tips.",2023-12-15,local-authority:DNC,,,,
23/02274/FUL,Erection of a single storey extension to the rear.,2024-01-09,local-authority:DNC,,,,
23/02275/FULM,"Demolition of remaining structures and hard standings and the erection of four commercial units for light industrial (Use Class E(g)), general industrial (Use Class B2), and storage and distribution uses (Use Class B8), together with associated car parking, service yards and landscape planting (variation of Condition 2 (Approved Plans) to internally subdivide Unit 1, and vary condition 8 (Landscaping Scheme) to update landscape plan reference, of planning permission 21/03595/FULM granted on 29/11/2022).",2024-02-21,local-authority:DNC,,,,
23/02276/FUL,"Erection of a two storey rear extension, a single storey side extension to the dwelling and an entrance porch to front of property .(being resubmission of planning application 23/00064/FUL granted 27.02.2023).",2023-12-19,local-authority:DNC,,,,
23/02282/FUL,"Application to remove condition 6 (additions, extensions or alterations) of permission 87/0572/P",2023-12-07,local-authority:DNC,,,,
23/02283/FULM,"Erection of a three storey education facility over a total gross internal floor space of 5,584m2, & soft landscaping, pedestrian provisions, outdoor canopies, the relocation of the car park and bicycle shelter, a temporary car park and the demolition of redundant buildings.",2024-04-18,local-authority:DNC,,,,
23/02284/COU,Change of use from children's residential home (Use Class C2) to dwelling house (C3a),2024-01-18,local-authority:DNC,,,,
23/02290/FUL,Erection of electric vehicle charging hub and associated infrastructure.,2024-01-08,local-authority:DNC,,,,
23/02291/FUL,Erection of a conservatory on the rear of the property,2024-01-09,local-authority:DNC,,,,
23/02294/FUL,Erection of a single storey front extension 5.05m X 1.25m X 3.47m max ht (2.46m at eaves) to form lounge extension and entrance porch replacing existing porch.,2023-12-18,local-authority:DNC,,,,
23/02295/FUL,"Proposed alterations and refurbishments throughout to bring property back into use as a family home, including replacement windows, installation of a new staircase and construction of internal walls to create rooms.",2024-07-29,local-authority:DNC,,,,
23/02296/LBC,"Listed Building Consent for works to carry out renovations and alterations to bring the property back into use as a family home. Also restoration works to the mill workings with lighting, public viewing, glazing and other associated repairs and refurbishment throughout.",2024-07-29,local-authority:DNC,,,,
23/02297/FUL,Conversion of integrated garage to living space and adjustments to windows and doors within external walling,2024-01-15,local-authority:DNC,,,,
23/02298/FUL,"AMENDED: Erection of rear extension, garage and loft conversion to dwelling.",2024-04-23,local-authority:DNC,,,,
23/02302/FUL,Installation of solar PV panels to roof and air source heat pumps with associated fenced enclosure,2024-03-14,local-authority:DNC,,,,
23/02304/FUL,Reconfigured hard landscaping to re-provide car parking spaces in respect of previous planning application 23/00538/FUL,2024-01-09,local-authority:DNC,,,,
23/02308/ADV,Renewal of consent for existing illuminated and non-illuminated signs to the exterior of the building.,2023-12-12,local-authority:DNC,,,,
23/02313/FUL,Erection of a single storey rear extension to house in multiple occupation,2024-02-09,local-authority:DNC,,,,
23/02317/FUL,Erection of single storey front extension to form gym area,2024-01-15,local-authority:DNC,,,,
23/02318/FUL,Raising of roof height in connection with formation of rooms in roof space including a dormer window to the rear roof slope.,2024-01-08,local-authority:DNC,,,,
23/02320/ADV,"Display of 6 x fascia signs, 2 of which are internally illuminated,  4 x A0 aluminium poster frames, 1 x Silver anodised aluminium owners plaque, & 12 x digitally printed vinyl",2024-01-08,local-authority:DNC,,,,
23/02322/FUL,Replacement of roof tiles to a new colour (retrospective).,2024-07-18,local-authority:DNC,,,,
23/02324/FULM,Erection of a single storey modular building to provide additional teaching facilities.,2024-05-28,local-authority:DNC,,,,
23/02325/FUL,Proposed extension of car park and alterations to the existing car park,2023-12-15,local-authority:DNC,,,,
23/02326/FULM,Section 73 Application to vary conditions 3 and 4 of Planning Permission 15/02975/FULM (as agreed under conditions 1 and 3 of subsequent Reserved Matters 17/01174/REMM and ref. 23/00501/FULM) to 1. Alter approved plans to enlarge temple and 2. Alterations to parking area,2024-07-23,local-authority:DNC,,,,
23/02328/FUL,Erection of two storey extension to side of semi detached property .,2024-01-12,local-authority:DNC,,,,
23/02329/FUL,Erection of a 2 storey and a single storey front extension.,2023-12-13,local-authority:DNC,,,,
23/02332/FUL,"Change of Use of the Orchids Day Centre for the elderly and disabled with 5- 6 bedrooms for overnight respite care at first floor level, to a Care home (Use Class C2) to provide 6 flats with communal facilities for residents & offices for support staff, with proposed demolition of existing small rear first floor addition, and erection of first floor extension to rear",2024-01-29,local-authority:DNC,,,,
23/02335/FUL,"Erection of a lean to style single storey extension to front entrance porch with 2 roof lights installation of stone surrounds to windows and doors, following the removal of the existing timber cladding. (Resubmission of 23/01225/FUL)",2024-01-11,local-authority:DNC,,,,
23/02343/FUL,Erection of an infill rear extension and formation of a first floor bay window,2024-01-18,local-authority:DNC,,,,
23/02347/FUL,Installation of a EN12566-3 certified sewage treatment plant to replace septic tank on neighbouring land.,2024-02-15,local-authority:DNC,,,,
23/02349/FUL,Erection of a replacement garden room following demolition of  existing.,2024-01-16,local-authority:DNC,,,,
23/02351/FUL,Erection of a first floor bathroom extension to side of existing detached dwelling,2023-12-15,local-authority:DNC,,,,
23/02352/FUL,Section 73 Application to vary condition 4 (flood risk assessment) to alter the finished floor levels from 4.1m AOD to 3.1m AOD from planning application 22/00914/FUL granted on 30/06/2023.,2024-05-29,local-authority:DNC,,,,
23/02365/FUL,Extension to existing building to house the replacement furnace and relocation of existing filter plant and chimney stack (Application for variation of condition 2 (Plans) and condition 6 (noise mitigation)  of planning permission 22/02831/FUL granted on 24/05/2023.),2024-02-23,local-authority:DNC,,,,
23/02370/FUL,Amended - Formation of rooms in the roof space (at first floor level) with the installation of 4 no roof lights to the rear elevation to the dwelling house of The Mistal. Plus an internal wall is to be removed.,2024-02-20,local-authority:DNC,,,,
23/02371/LBC,"Listed Building Consent (Amended) - Formation of rooms in the roof space (at first floor level) with the installation of 4 no roof lights to the rear elevation to the dwelling house of The Mistal. Plus an internal wall is to be removed.




",2024-02-20,local-authority:DNC,,,,
23/02373/FUL,Erection of first floor side extension.,2024-01-04,local-authority:DNC,,,,
