reference,planning-application,planning-condition,documentation-url,document-url,organisation,notes,entry-date,start-date,end-date
20/03415/FULM-25,20/03415/FULM,U0128895,https://necdm.doncaster.gov.uk/PublicAccess_LIVE/SearchResult/RunThirdPartySearch?FileSystemId=DP&FOLDER1_REF=20/03415/FULM,,local-authority:DNC,,2024-12-20,2024-12-20,
20/03415/FULM-26,20/03415/FULM,U0128896,https://necdm.doncaster.gov.uk/PublicAccess_LIVE/SearchResult/RunThirdPartySearch?FileSystemId=DP&FOLDER1_REF=20/03415/FULM,,local-authority:DNC,,2024-12-20,2024-12-20,
20/03415/FULM-27,20/03415/FULM,U0128897,https://necdm.doncaster.gov.uk/PublicAccess_LIVE/SearchResult/RunThirdPartySearch?FileSystemId=DP&FOLDER1_REF=20/03415/FULM,,local-authority:DNC,,2024-12-20,2024-12-20,
20/03415/FULM-28,20/03415/FULM,U0128898,https://necdm.doncaster.gov.uk/PublicAccess_LIVE/SearchResult/RunThirdPartySearch?FileSystemId=DP&FOLDER1_REF=20/03415/FULM,,local-authority:DNC,,2024-12-20,2024-12-20,
20/03415/FULM-29,20/03415/FULM,U0128899,https://necdm.doncaster.gov.uk/PublicAccess_LIVE/SearchResult/RunThirdPartySearch?FileSystemId=DP&FOLDER1_REF=20/03415/FULM,,local-authority:DNC,,2024-12-20,2024-12-20,
20/03486/FUL-1,20/03486/FUL,CRET,https://necdm.doncaster.gov.uk/PublicAccess_LIVE/SearchResult/RunThirdPartySearch?FileSystemId=DP&FOLDER1_REF=20/03486/FUL,,local-authority:DNC,,2024-03-15,2024-03-15,
21/00433/MIN-1,21/00433/MIN,U0125227,https://necdm.doncaster.gov.uk/PublicAccess_LIVE/SearchResult/RunThirdPartySearch?FileSystemId=DP&FOLDER1_REF=21/00433/MIN,,local-authority:DNC,,2024-07-26,2024-07-26,
21/00433/MIN-2,21/00433/MIN,U0125228,https://necdm.doncaster.gov.uk/PublicAccess_LIVE/SearchResult/RunThirdPartySearch?FileSystemId=DP&FOLDER1_REF=21/00433/MIN,,local-authority:DNC,,2024-07-26,2024-07-26,
21/00433/MIN-3,21/00433/MIN,U0125229,https://necdm.doncaster.gov.uk/PublicAccess_LIVE/SearchResult/RunThirdPartySearch?FileSystemId=DP&FOLDER1_REF=21/00433/MIN,,local-authority:DNC,,2024-07-26,2024-07-26,
21/00433/MIN-4,21/00433/MIN,U0125230,https://necdm.doncaster.gov.uk/PublicAccess_LIVE/SearchResult/RunThirdPartySearch?FileSystemId=DP&FOLDER1_REF=21/00433/MIN,,local-authority:DNC,,2024-07-26,2024-07-26,
21/00433/MIN-5,21/00433/MIN,U0125231,https://necdm.doncaster.gov.uk/PublicAccess_LIVE/SearchResult/RunThirdPartySearch?FileSystemId=DP&FOLDER1_REF=21/00433/MIN,,local-authority:DNC,,2024-07-26,2024-07-26,
21/00433/MIN-6,21/00433/MIN,U0125232,https://necdm.doncaster.gov.uk/PublicAccess_LIVE/SearchResult/RunThirdPartySearch?FileSystemId=DP&FOLDER1_REF=21/00433/MIN,,local-authority:DNC,,2024-07-26,2024-07-26,
